# ★実Excel に 打たせた 答え（お金の 26個）★
# 取った 日 … 2026-09-07
# ★どの Excel で 打ったか★ … 版 16.0 ／ build 20326 ／ UI の 言語 1041
# ★読み方★ … 数は .Value2 を 'R'（丸めない 書き方）で 出している
# 関数	式	実Excel の 答え	型
ACCRINT	=ACCRINT(DATE(2008,3,1),DATE(2008,8,31),DATE(2008,5,1),0.1,1000,2,0)	16.666666666666664	Double
ACCRINT	=ACCRINT(DATE(2008,3,1),DATE(2008,8,31),DATE(2008,5,1),0.1,1000,2,1)	16.57608695652174	Double
ACCRINT	=ACCRINT(DATE(2008,3,1),DATE(2008,8,31),DATE(2008,5,1),0.1,1000,2,2)	16.944444444444446	Double
ACCRINT	=ACCRINT(DATE(2008,3,1),DATE(2008,8,31),DATE(2008,5,1),0.1,1000,2,3)	16.71232876712329	Double
ACCRINT	=ACCRINT(DATE(2008,3,1),DATE(2008,8,31),DATE(2008,5,1),0.1,1000,2,4)	16.666666666666664	Double
ACCRINT	=ACCRINT(DATE(2008,3,1),DATE(2008,8,31),DATE(2008,5,1),0.1,1000,2)	16.666666666666664	Double
ACCRINT	=ACCRINT(DATE(2008,3,5),DATE(2008,9,5),DATE(2008,7,15),0.075,1000,4,0)	27.083333333333332	Double
ACCRINT	=ACCRINT(DATE(2008,3,5),DATE(2008,9,5),DATE(2008,7,15),0.075,1000,4,1)	26.902173913043477	Double
ACCRINT	=ACCRINT(DATE(2008,3,5),DATE(2008,9,5),DATE(2008,7,15),0.075,1000,4,2)	27.083333333333332	Double
ACCRINT	=ACCRINT(DATE(2008,3,5),DATE(2008,9,5),DATE(2008,7,15),0.075,1000,4,3)	26.96917808219178	Double
ACCRINT	=ACCRINT(DATE(2008,3,5),DATE(2008,9,5),DATE(2008,7,15),0.075,1000,4,4)	27.083333333333332	Double
ACCRINT	=ACCRINT(DATE(2008,3,5),DATE(2008,9,5),DATE(2008,7,15),0.075,1000,4)	27.083333333333332	Double
ACCRINTM	=ACCRINTM(DATE(2008,4,1),DATE(2008,6,15),0.1,1000,0)	20.555555555555554	Double
ACCRINTM	=ACCRINTM(DATE(2008,4,1),DATE(2008,6,15),0.1,1000,1)	20.491803278688526	Double
ACCRINTM	=ACCRINTM(DATE(2008,4,1),DATE(2008,6,15),0.1,1000,2)	20.833333333333336	Double
ACCRINTM	=ACCRINTM(DATE(2008,4,1),DATE(2008,6,15),0.1,1000,3)	20.54794520547945	Double
ACCRINTM	=ACCRINTM(DATE(2008,4,1),DATE(2008,6,15),0.1,1000,4)	20.555555555555554	Double
ACCRINTM	=ACCRINTM(DATE(2008,4,1),DATE(2008,6,15),0.1,1000)	20.555555555555554	Double
ACCRINTM	=ACCRINTM(DATE(2007,10,3),DATE(2008,2,28),0.06,5000,0)	120.83333333333334	Double
ACCRINTM	=ACCRINTM(DATE(2007,10,3),DATE(2008,2,28),0.06,5000,1)	121.64383561643835	Double
ACCRINTM	=ACCRINTM(DATE(2007,10,3),DATE(2008,2,28),0.06,5000,2)	123.33333333333333	Double
ACCRINTM	=ACCRINTM(DATE(2007,10,3),DATE(2008,2,28),0.06,5000,3)	121.64383561643835	Double
ACCRINTM	=ACCRINTM(DATE(2007,10,3),DATE(2008,2,28),0.06,5000,4)	120.83333333333334	Double
ACCRINTM	=ACCRINTM(DATE(2007,10,3),DATE(2008,2,28),0.06,5000)	120.83333333333334	Double
AMORDEGRC	=AMORDEGRC(2400,DATE(2008,8,19),DATE(2008,12,31),300,1,0.15,0)	776	Double
AMORDEGRC	=AMORDEGRC(2400,DATE(2008,8,19),DATE(2008,12,31),300,1,0.15,1)	776	Double
AMORDEGRC	=AMORDEGRC(2400,DATE(2008,8,19),DATE(2008,12,31),300,1,0.15,2)	#NUM!	error値
AMORDEGRC	=AMORDEGRC(2400,DATE(2008,8,19),DATE(2008,12,31),300,1,0.15,3)	776	Double
AMORDEGRC	=AMORDEGRC(2400,DATE(2008,8,19),DATE(2008,12,31),300,1,0.15,4)	777	Double
AMORDEGRC	=AMORDEGRC(2400,DATE(2008,8,19),DATE(2008,12,31),300,1,0.15)	776	Double
AMORDEGRC	=AMORDEGRC(2400,DATE(2008,8,19),DATE(2008,12,31),300,3,0.15,0)	303	Double
AMORDEGRC	=AMORDEGRC(2400,DATE(2008,8,19),DATE(2008,12,31),300,3,0.15,1)	303	Double
AMORDEGRC	=AMORDEGRC(2400,DATE(2008,8,19),DATE(2008,12,31),300,3,0.15,2)	#NUM!	error値
AMORDEGRC	=AMORDEGRC(2400,DATE(2008,8,19),DATE(2008,12,31),300,3,0.15,3)	303	Double
AMORDEGRC	=AMORDEGRC(2400,DATE(2008,8,19),DATE(2008,12,31),300,3,0.15,4)	304	Double
AMORDEGRC	=AMORDEGRC(2400,DATE(2008,8,19),DATE(2008,12,31),300,3,0.15)	303	Double
AMORLINC	=AMORLINC(2400,DATE(2008,8,19),DATE(2008,12,31),300,1,0.15,0)	360	Double
AMORLINC	=AMORLINC(2400,DATE(2008,8,19),DATE(2008,12,31),300,1,0.15,1)	360	Double
AMORLINC	=AMORLINC(2400,DATE(2008,8,19),DATE(2008,12,31),300,1,0.15,2)	#NUM!	error値
AMORLINC	=AMORLINC(2400,DATE(2008,8,19),DATE(2008,12,31),300,1,0.15,3)	360	Double
AMORLINC	=AMORLINC(2400,DATE(2008,8,19),DATE(2008,12,31),300,1,0.15,4)	360	Double
AMORLINC	=AMORLINC(2400,DATE(2008,8,19),DATE(2008,12,31),300,1,0.15)	360	Double
AMORLINC	=AMORLINC(2400,DATE(2008,8,19),DATE(2008,12,31),300,2,0.15,0)	360	Double
AMORLINC	=AMORLINC(2400,DATE(2008,8,19),DATE(2008,12,31),300,2,0.15,1)	360	Double
AMORLINC	=AMORLINC(2400,DATE(2008,8,19),DATE(2008,12,31),300,2,0.15,2)	#NUM!	error値
AMORLINC	=AMORLINC(2400,DATE(2008,8,19),DATE(2008,12,31),300,2,0.15,3)	360	Double
AMORLINC	=AMORLINC(2400,DATE(2008,8,19),DATE(2008,12,31),300,2,0.15,4)	360	Double
AMORLINC	=AMORLINC(2400,DATE(2008,8,19),DATE(2008,12,31),300,2,0.15)	360	Double
COUPDAYBS	=COUPDAYBS(DATE(2011,1,25),DATE(2011,11,15),2,0)	70	Double
COUPDAYBS	=COUPDAYBS(DATE(2011,1,25),DATE(2011,11,15),2,1)	71	Double
COUPDAYBS	=COUPDAYBS(DATE(2011,1,25),DATE(2011,11,15),2,2)	71	Double
COUPDAYBS	=COUPDAYBS(DATE(2011,1,25),DATE(2011,11,15),2,3)	71	Double
COUPDAYBS	=COUPDAYBS(DATE(2011,1,25),DATE(2011,11,15),2,4)	70	Double
COUPDAYBS	=COUPDAYBS(DATE(2011,1,25),DATE(2011,11,15),2)	70	Double
COUPDAYBS	=COUPDAYBS(DATE(2008,2,29),DATE(2020,8,31),4,0)	0	Double
COUPDAYBS	=COUPDAYBS(DATE(2008,2,29),DATE(2020,8,31),4,1)	0	Double
COUPDAYBS	=COUPDAYBS(DATE(2008,2,29),DATE(2020,8,31),4,2)	0	Double
COUPDAYBS	=COUPDAYBS(DATE(2008,2,29),DATE(2020,8,31),4,3)	0	Double
COUPDAYBS	=COUPDAYBS(DATE(2008,2,29),DATE(2020,8,31),4,4)	0	Double
COUPDAYBS	=COUPDAYBS(DATE(2008,2,29),DATE(2020,8,31),4)	0	Double
COUPDAYS	=COUPDAYS(DATE(2011,1,25),DATE(2011,11,15),2,0)	180	Double
COUPDAYS	=COUPDAYS(DATE(2011,1,25),DATE(2011,11,15),2,1)	181	Double
COUPDAYS	=COUPDAYS(DATE(2011,1,25),DATE(2011,11,15),2,2)	180	Double
COUPDAYS	=COUPDAYS(DATE(2011,1,25),DATE(2011,11,15),2,3)	182.5	Double
COUPDAYS	=COUPDAYS(DATE(2011,1,25),DATE(2011,11,15),2,4)	180	Double
COUPDAYS	=COUPDAYS(DATE(2011,1,25),DATE(2011,11,15),2)	180	Double
COUPDAYS	=COUPDAYS(DATE(2008,2,29),DATE(2020,8,31),4,0)	90	Double
COUPDAYS	=COUPDAYS(DATE(2008,2,29),DATE(2020,8,31),4,1)	90	Double
COUPDAYS	=COUPDAYS(DATE(2008,2,29),DATE(2020,8,31),4,2)	90	Double
COUPDAYS	=COUPDAYS(DATE(2008,2,29),DATE(2020,8,31),4,3)	91.25	Double
COUPDAYS	=COUPDAYS(DATE(2008,2,29),DATE(2020,8,31),4,4)	90	Double
COUPDAYS	=COUPDAYS(DATE(2008,2,29),DATE(2020,8,31),4)	90	Double
COUPDAYSNC	=COUPDAYSNC(DATE(2011,1,25),DATE(2011,11,15),2,0)	110	Double
COUPDAYSNC	=COUPDAYSNC(DATE(2011,1,25),DATE(2011,11,15),2,1)	110	Double
COUPDAYSNC	=COUPDAYSNC(DATE(2011,1,25),DATE(2011,11,15),2,2)	110	Double
COUPDAYSNC	=COUPDAYSNC(DATE(2011,1,25),DATE(2011,11,15),2,3)	110	Double
COUPDAYSNC	=COUPDAYSNC(DATE(2011,1,25),DATE(2011,11,15),2,4)	110	Double
COUPDAYSNC	=COUPDAYSNC(DATE(2011,1,25),DATE(2011,11,15),2)	110	Double
COUPDAYSNC	=COUPDAYSNC(DATE(2008,2,29),DATE(2020,8,31),4,0)	90	Double
COUPDAYSNC	=COUPDAYSNC(DATE(2008,2,29),DATE(2020,8,31),4,1)	92	Double
COUPDAYSNC	=COUPDAYSNC(DATE(2008,2,29),DATE(2020,8,31),4,2)	92	Double
COUPDAYSNC	=COUPDAYSNC(DATE(2008,2,29),DATE(2020,8,31),4,3)	92	Double
COUPDAYSNC	=COUPDAYSNC(DATE(2008,2,29),DATE(2020,8,31),4,4)	91	Double
COUPDAYSNC	=COUPDAYSNC(DATE(2008,2,29),DATE(2020,8,31),4)	90	Double
COUPNCD	=COUPNCD(DATE(2011,1,25),DATE(2011,11,15),2,0)	40678	Double
COUPNCD	=COUPNCD(DATE(2011,1,25),DATE(2011,11,15),2,1)	40678	Double
COUPNCD	=COUPNCD(DATE(2011,1,25),DATE(2011,11,15),2,2)	40678	Double
COUPNCD	=COUPNCD(DATE(2011,1,25),DATE(2011,11,15),2,3)	40678	Double
COUPNCD	=COUPNCD(DATE(2011,1,25),DATE(2011,11,15),2,4)	40678	Double
COUPNCD	=COUPNCD(DATE(2011,1,25),DATE(2011,11,15),2)	40678	Double
COUPNCD	=COUPNCD(DATE(2008,2,29),DATE(2020,8,31),4,0)	39599	Double
COUPNCD	=COUPNCD(DATE(2008,2,29),DATE(2020,8,31),4,1)	39599	Double
COUPNCD	=COUPNCD(DATE(2008,2,29),DATE(2020,8,31),4,2)	39599	Double
