# ★答えを 1度も 確かめていない 関数を 実Excel に 聞いた★
# 取った 日 … 2026-09-08 ／ ★司さん「答え確かめて」★
# ★どの Excel で 打ったか★ … 版 16.0 ／ build 20326
# ★やり方★ 引数の 形を 81 通り 用意し、★実Excel が 誤りに しなかった 形を 全部★ 採る
#   ⇒★人が 決めるのは 形の 候補だけ／どれが 正しいかは 実Excel が 決める★
#   ⇒★1本だけだと『当たり前の 答え』で 通ってしまう★ので ★当たった 形は 全部 残す★
# ★材料★ A1:A5=1..5 ／ B1:B5=2,4,6,8,10 ／ D1=2024/1/1 ／ D2=2026/1/1
# ★★材料（機械が 読む）★★ … #材料<タブ>マス<タブ>値<タブ>型（★Excel から 読み返した 値★）
# ★数★ 関数 45個 ／ 呼び方が 見つかった 45 個 ／ 見つからない 0 個 ／ 式 293 本
# ★呼び方が 見つからない★ … 

#材料	A1	1	数
#材料	A2	2	数
#材料	A3	3	数
#材料	A4	4	数
#材料	A5	5	数
#材料	B1	2	数
#材料	B2	4	数
#材料	B3	6	数
#材料	B4	8	数
#材料	B5	10	数
#材料	D1	45292	数
#材料	D2	46023	数
# 関数	式	実Excel の 答え	型
BINOM.DIST	=BINOM.DIST(A1:A5,B1:B5,1,1)	0	Double
BINOM.DIST	=BINOM.DIST(2,3,0.5,TRUE)	0.875	Double
BINOM.INV	=BINOM.INV(10,0.5,0.5)	5	Double
BINOMDIST	=BINOMDIST(A1:A5,B1:B5,1,1)	0	Double
BINOMDIST	=BINOMDIST(2,3,0.5,TRUE)	0.875	Double
COUNTIF	=COUNTIF(A1:A5,B1:B5)	1	Double
COUNTIF	=COUNTIF(A1:A5,2)	1	Double
COUNTIF	=COUNTIF(A1:A5,A1)	1	Double
COUNTIF	=COUNTIF(A1:A5,"<3")	2	Double
COUNTIF	=COUNTIF(D1,D2)	0	Double
COUNTIF	=COUNTIF(D1,2)	0	Double
COUNTIF	=COUNTIF(A1:A5,A1:A5>2)	0	Double
COUNTIF	=COUNTIF(A1:A5,0.5)	0	Double
COUNTIF	=COUNTIF(D1,1)	0	Double
CRITBINOM	=CRITBINOM(10,0.5,0.5)	5	Double
CUMIPMT	=CUMIPMT(0.05,12,100,1,12,0)	-35.3904920249785	Double
CUMPRINC	=CUMPRINC(0.05,12,100,1,12,0)	-100	Double
DATEDIF	=DATEDIF(D1,D2,"D")	731	Double
DATEDIF	=DATEDIF(D1,D2,"M")	24	Double
DATEVALUE	=DATEVALUE("2024-01-15")	45306	Double
DATEVALUE	=DATEVALUE("12:30")	0	Double
