# ★IF／IFERROR／SUBTOTAL／TEXT の 決まりを 実Excel に 聞いた★（2026-09-15）
#   ★司さんの 実物 1冊に 出てくる 8個の うち 残り 4個★
#   （IFERROR 4,329回 ／ IF 2,884回 ／ TEXT 740回 ／ SUBTOTAL 496回）
# ★どの Excel で 打ったか★ … 版 16.0 ／ build 20326
# ★★打った マスを 1本ずつ 書いて います★★（1列目）
#   ＝実Excel は ★四角を 1つの 値に 詰める 時、式の 行／列と 交わる 所★を 採ります
#   ⇒★★突き合わせる 側も 同じ マスに 打って ください★★
# ★前の 式の 跡を 消してから 打ち、CalculateFull してから 読んで います★
# ★★材料（機械が 読む）★★ … #材料<タブ>マス<タブ>値<タブ>型（型＝数／字／真偽／式／空）
#   ★A6 は 式★＝`=SUBTOTAL(9,A1:A5)`（★入れ子を 数えないか★を 見る 為に 置いて 在る）
# ★★2つ目の 窓★★ … 答えが 0 の 行だけ `=(式)=0` の 真偽も 取って 在ります（5列目）
#材料	A1	1	数
#材料	A2	2	数
#材料	A3	3	数
#材料	A4	4	数
#材料	A5	5	数
#材料	A6	=SUBTOTAL(9,A1:A5)	式
#材料	B1	2	数
#材料	B2	4	数
#材料	B3	6	数
#材料	B4	8	数
#材料	B5	10	数
#材料	D1	apple	字
#材料	D2	Banana	字
#材料	D3	cherry	字
#材料	D4	date	字
#材料	D5	egg	字
#材料	E1	10	数
#材料	E2	30	数
#材料	E3	20	数
#材料	E4		空
#材料	E5	50	数
#材料	G1	TRUE	真偽
#材料	G2	FALSE	真偽
# 打ったマス	式	実Excel の 答え	型	窓②=0の真偽	何を 測って いるか
J1	=IF(TRUE,1,2)	1	Double	-	IF … 真
J1	=IF(FALSE,1,2)	2	Double	-	IF … 偽
J1	=IF(1,1,2)	1	Double	-	数の 1 は 真か
J1	=IF(0,1,2)	2	Double	-	数の 0 は 偽か
J1	=IF(-1,1,2)	1	Double	-	負も 真か
J1	=IF(0.5,1,2)	1	Double	-	小数も 真か
J1	=IF("TRUE",1,2)	1	Double	-	★字の TRUE★ は 真か 誤りか
J1	=IF("",1,2)	#VALUE!	error値	-	空の 字
J1	=IF("あ",1,2)	#VALUE!	error値	-	字
J1	=IF(A1,1,2)	1	Double	-	マス（A1=1）
J1	=IF(A9,1,2)	2	Double	-	★空の マス★
J1	=IF(G1,1,2)	1	Double	-	マスの TRUE
J1	=IF(TRUE,1)	1	Double	-	★引数 2つ★（真）
J1	=IF(FALSE,1)	FALSE	Boolean	-	★引数 2つ★（偽）＝何を 返すか
J1	=IF(TRUE,,2)	0	Double	TRUE	★真の 枝を 省く★
J1	=IF(FALSE,1,)	0	Double	TRUE	★偽の 枝を 省く★
J1	=IF(1/0,1,2)	#DIV/0!	error値	-	条件が 誤り
J1	=IF(TRUE,1/0,2)	#DIV/0!	error値	-	選ぶ 枝が 誤り
J1	=IF(FALSE,1/0,2)	2	Double	-	★選ばない 枝の 誤りを 見るか★（短絡するか）
J1	=IF(TRUE,2,1/0)	2	Double	-	★同上（逆）★
J1	=IF(TRUE,"あ","い")	あ	String	-	字を 返す
J1	=IF(A1>2,1,2)	2	Double	-	くらべた 答えを 条件に
J1	=IF(A1:A5>2,1,2)	2	Double	-	★四角を 条件に★（暗黙の 交わり／溢れ）
J1	=IF(TRUE,A1:A5,2)	1	Double	-	★四角を 枝に★
J1	=IFERROR(1,"x")	1	Double	-	IFERROR … 誤りで ない
J1	=IFERROR(1/0,"x")	x	String	-	#DIV/0! を 受ける
J1	=IFERROR(NA(),"x")	x	String	-	#N/A を 受ける
J1	=IFERROR(MATCH(99,A1:A5,0),"なし")	なし	String	-	★客の 使い方★
J1	=IFERROR("","x")		String	-	★空の 字は 誤りか★
J1	=IFERROR(A9,"x")	0	Double	TRUE	★空の マス★
J1	=IFERROR(1/0,)	0	Double	TRUE	★2つ目を 省く★
J1	=IFERROR(1/0,1/0)	#DIV/0!	error値	-	★受け手も 誤り★
J1	=IFERROR(1/0,"")		String	-	2つ目が 空の 字
J1	=IFERROR(A1:A5,"x")	1	Double	-	★四角★（暗黙の 交わり／溢れ）
J1	=IFERROR(1)	★受け付けない★	-	-	★引数 1つ★
J1	=IFERROR(TRUE,"x")	TRUE	Boolean	-	真偽
