# ★実Excel に 打たせた 答え★（入 C:\Users\zeroa\exally-wt-46b\docs\measured\kansuu46\cases-yosoku.txt）
# 取った 日 … 2026-09-07
# ★どの Excel で 打ったか★ … 版 16.0 ／ build 20326 ／ UI の 言語 1041
# ★読み方★ … 数は .Value2 を 'R'（丸めない 書き方）で 出している
# 関数	式	実Excel の 答え	型
TREND	=TREND({3;5;7;9;11;13})	2.9999999999999987	Double
TREND	=INDEX(TREND({3;5;7;9;11;13}),1,1)	2.9999999999999987	Double
TREND	=INDEX(TREND({3;5;7;9;11;13}),6,1)	13.000000000000002	Double
TREND	=INDEX(TREND({3;5;7;9;11;13},{1;2;3;4;5;6},{7;8}),1,1)	15.000000000000002	Double
TREND	=INDEX(TREND({3;5;7;9;11;13},{1;2;3;4;5;6},{7;8}),2,1)	17	Double
TREND	=INDEX(TREND({3;5;6;10;10;14},{1;2;3;4;5;6},{7}),1,1)	15.400000000000002	Double
TREND	=INDEX(TREND({3;5;6;10;10;14},{1;2;3;4;5;6},{7},FALSE),1,1)	15.769230769230772	Double
TREND	=ROWS(TREND({3;5;7;9;11;13}))	6	Double
GROWTH	=INDEX(GROWTH({2;4;8;16;32;64}),1,1)	1.9999999999999991	Double
GROWTH	=INDEX(GROWTH({2;4;8;16;32;64}),6,1)	64	Double
GROWTH	=INDEX(GROWTH({2;4;8;16;32;64},{1;2;3;4;5;6},{7;8}),1,1)	128.00000000000003	Double
GROWTH	=INDEX(GROWTH({2;4;8;16;32;64},{1;2;3;4;5;6},{7;8}),2,1)	256.00000000000006	Double
GROWTH	=INDEX(GROWTH({3;5;6;10;10;14},{1;2;3;4;5;6},{7}),1,1)	19.817963383710122	Double
GROWTH	=INDEX(GROWTH({3;5;6;10;10;14},{1;2;3;4;5;6},{7},FALSE),1,1)	35.08316046800574	Double
LOGEST	=INDEX(LOGEST({2;4;8;16;32;64},{1;2;3;4;5;6}),1,1)	2	Double
LOGEST	=INDEX(LOGEST({2;4;8;16;32;64},{1;2;3;4;5;6}),1,2)	0.9999999999999996	Double
LOGEST	=INDEX(LOGEST({3;5;6;10;10;14},{1;2;3;4;5;6}),1,1)	1.3418794562745837	Double
LOGEST	=INDEX(LOGEST({3;5;6;10;10;14},{1;2;3;4;5;6}),1,2)	2.5296736288681365	Double
LOGEST	=INDEX(LOGEST({3;5;6;10;10;14},{1;2;3;4;5;6},TRUE,TRUE),3,1)	0.9524037670539202	Double
LOGEST	=INDEX(LOGEST({3;5;6;10;10;14},{1;2;3;4;5;6},TRUE,TRUE),4,1)	80.04026437410424	Double
LOGEST	=ROWS(LOGEST({3;5;6;10;10;14},{1;2;3;4;5;6},TRUE,TRUE))	5	Double
LOGEST	=COLUMNS(LOGEST({3;5;6;10;10;14},{1;2;3;4;5;6},TRUE,TRUE))	2	Double
ERF.PRECISE	=ERF.PRECISE(0)	0	Double
ERF.PRECISE	=ERF.PRECISE(0.5)	0.5204998778130465	Double
ERF.PRECISE	=ERF.PRECISE(1)	0.8427007929497149	Double
ERF.PRECISE	=ERF.PRECISE(2)	0.9953222650189527	Double
ERF.PRECISE	=ERF.PRECISE(-1)	-0.8427007929497149	Double
ERF.PRECISE	=ERF.PRECISE(3.5)	0.9999992569016276	Double
ERFC.PRECISE	=ERFC.PRECISE(0)	1	Double
ERFC.PRECISE	=ERFC.PRECISE(0.5)	0.4795001221869535	Double
ERFC.PRECISE	=ERFC.PRECISE(1)	0.15729920705028513	Double
ERFC.PRECISE	=ERFC.PRECISE(2)	0.0046777349810472645	Double
ERFC.PRECISE	=ERFC.PRECISE(-1)	1.8427007929497148	Double
ERFC.PRECISE	=ERFC.PRECISE(3.5)	7.430983723414129E-07	Double
