C1	=NORM.DIST(5,3,2,TRUE)	0.841344746068543
C2	=BINOM.DIST(6,10,0.5,FALSE)	0.205078125
C3	=CORREL(A1:A5,B1:B5)	1
C4	=SLOPE(B1:B5,A1:A5)	2
C5	=RANK.EQ(3,A1:A5)	3
C6	=CHISQ.DIST(2,3,TRUE)	0.42759329552912
C7	=CONFIDENCE.NORM(0.05,2.5,50)	0.692951912174839
C8	=DATE(1900,2,28)	59
C9	=DATEVALUE("2024-01-01")	45292
C10	=TIMEVALUE("12:30")	0.520833333333333
C11	=TBILLPRICE(2,3,4)	98.8888888888889
C12	=SERIESSUM(2,3,4,5)	40
C13	=DB(0.5,1,2,3,4)	-0.222060216
C14	=CUMIPMT(0.05,12,100,1,12,0)	-35.3904920249785
C15	=ROW(A2)	2
C16	=COLUMN(B1:B5)	2
C17	=ISOMITTED(2)	FALSE
C18	=AREAS((A1,A2))	2
C19	=AREAS((A1:A2,B1:B3,A4))	3
C20	=SUM(AREAS((A1,A2)),1)	3
C21	=SUMPRODUCT(A1:A5,B1:B5)	110
C22	=CONCATENATE("a","b")	ab
C23	=FALSE()	FALSE
